ID,seg,music_training,press
X09-YPN,Seg2,3,0
X09-YPN,Seg3,3,0
X09-YPN,Seg4,3,0
X09-YPN,Seg5,3,0
X09-YPN,Seg6,3,0
X09-YPN,Seg7,3,0
X09-YPN,Seg8,3,0
X09-YPN,Seg9,3,0
X09-YPN,Seg10,3,0
X09-YPN,Seg11,3,0
X09-YPN,Seg12,3,0
X09-YPN,Seg13,3,1
X09-YPN,Seg14,3,0
X09-YPN,Seg15,3,0
X09-YPN,Seg16,3,0
X09-YPN,Seg17,3,0
X09-YPN,Seg18,3,0
X09-YPN,Seg19,3,0
X09-YPN,Seg20,3,0
X09-YPN,Seg21,3,0
M38-KRT,Seg1,4,0
M38-KRT,Seg2,4,0
M38-KRT,Seg3,4,0
M38-KRT,Seg4,4,0
M38-KRT,Seg5,4,1
M38-KRT,Seg6,4,0
M38-KRT,Seg7,4,0
M38-KRT,Seg8,4,0
M38-KRT,Seg9,4,1
M38-KRT,Seg10,4,0
M38-KRT,Seg11,4,0
M38-KRT,Seg12,4,0
M38-KRT,Seg13,4,0
M38-KRT,Seg14,4,0
M38-KRT,Seg15,4,0
M38-KRT,Seg16,4,0
M38-KRT,Seg17,4,0
M38-KRT,Seg18,4,0
M38-KRT,Seg19,4,0
M38-KRT,Seg20,4,0
M38-KRT,Seg21,4,0
K94-MVV,Seg1,5,0
K94-MVV,Seg2,5,0
K94-MVV,Seg3,5,0
K94-MVV,Seg4,5,0
K94-MVV,Seg5,5,1
K94-MVV,Seg6,5,0
K94-MVV,Seg7,5,0
K94-MVV,Seg8,5,0
K94-MVV,Seg9,5,1
K94-MVV,Seg10,5,0
K94-MVV,Seg11,5,1
K94-MVV,Seg12,5,0
K94-MVV,Seg13,5,0
K94-MVV,Seg14,5,0
K94-MVV,Seg15,5,0
K94-MVV,Seg16,5,0
K94-MVV,Seg17,5,0
K94-MVV,Seg18,5,0
K94-MVV,Seg19,5,1
K94-MVV,Seg20,5,0
K94-MVV,Seg21,5,0
X67-RTK,Seg1,6,0
X67-RTK,Seg2,6,0
X67-RTK,Seg3,6,0
X67-RTK,Seg4,6,0
X67-RTK,Seg5,6,0
X67-RTK,Seg6,6,0
X67-RTK,Seg7,6,0
X67-RTK,Seg8,6,0
X67-RTK,Seg9,6,1
X67-RTK,Seg10,6,0
X67-RTK,Seg11,6,0
X67-RTK,Seg12,6,0
X67-RTK,Seg13,6,1
X67-RTK,Seg14,6,0
X67-RTK,Seg15,6,0
X67-RTK,Seg16,6,0
X67-RTK,Seg17,6,0
X67-RTK,Seg18,6,1
X67-RTK,Seg19,6,0
X67-RTK,Seg20,6,0
X67-RTK,Seg21,6,0
S85-BTB,Seg1,1,0
S85-BTB,Seg2,1,0
S85-BTB,Seg3,1,0
S85-BTB,Seg4,1,0
S85-BTB,Seg5,1,1
S85-BTB,Seg6,1,0
S85-BTB,Seg7,1,1
S85-BTB,Seg8,1,0
S85-BTB,Seg9,1,0
S85-BTB,Seg10,1,0
S85-BTB,Seg11,1,0
S85-BTB,Seg12,1,0
S85-BTB,Seg13,1,0
S85-BTB,Seg14,1,0
S85-BTB,Seg15,1,0
S85-BTB,Seg16,1,0
S85-BTB,Seg17,1,0
S85-BTB,Seg18,1,0
S85-BTB,Seg19,1,0
S85-BTB,Seg20,1,0
S85-BTB,Seg21,1,0
W25-NRZ,Seg1,10,0
W25-NRZ,Seg2,10,0
W25-NRZ,Seg3,10,0
W25-NRZ,Seg4,10,0
W25-NRZ,Seg5,10,0
W25-NRZ,Seg6,10,0
W25-NRZ,Seg7,10,0
W25-NRZ,Seg8,10,0
W25-NRZ,Seg9,10,0
W25-NRZ,Seg10,10,0
W25-NRZ,Seg11,10,0
W25-NRZ,Seg12,10,0
W25-NRZ,Seg13,10,1
W25-NRZ,Seg14,10,0
W25-NRZ,Seg15,10,0
W25-NRZ,Seg16,10,0
W25-NRZ,Seg17,10,0
W25-NRZ,Seg18,10,0
W25-NRZ,Seg19,10,0
W25-NRZ,Seg20,10,0
W25-NRZ,Seg21,10,0
X05-DVR,Seg1,7,0
X05-DVR,Seg2,7,0
X05-DVR,Seg3,7,0
X05-DVR,Seg4,7,1
X05-DVR,Seg5,7,0
X05-DVR,Seg6,7,0
X05-DVR,Seg7,7,0
X05-DVR,Seg8,7,0
X05-DVR,Seg9,7,0
X05-DVR,Seg10,7,0
X05-DVR,Seg11,7,0
X05-DVR,Seg12,7,0
X05-DVR,Seg13,7,0
X05-DVR,Seg14,7,0
X05-DVR,Seg15,7,1
X05-DVR,Seg16,7,0
X05-DVR,Seg17,7,0
X05-DVR,Seg18,7,0
X05-DVR,Seg19,7,0
X05-DVR,Seg20,7,0
X05-DVR,Seg21,7,0
S51-TYS,Seg1,0,0
S51-TYS,Seg2,0,0
S51-TYS,Seg3,0,0
S51-TYS,Seg4,0,0
S51-TYS,Seg5,0,0
S51-TYS,Seg6,0,0
S51-TYS,Seg7,0,0
S51-TYS,Seg8,0,0
S51-TYS,Seg9,0,0
S51-TYS,Seg10,0,0
S51-TYS,Seg11,0,0
S51-TYS,Seg12,0,0
S51-TYS,Seg13,0,0
S51-TYS,Seg14,0,0
